Customer_ID,Name,Gender,Age,Region,Income,Account_Balance,Products_Held,Credit_Score,Has_Credit_Card,Is_Active_Member,Tenure_Years,Churned,Churned_1_0
UAE-32,Kevin Campbell,Female,54,Sharjah,"23,783","183,490",2,774,NO,ACTIVE,6,RETAINED,1
UAE-33,Teresa Santos,Male,51,Umm AL-Quwain,"21,853","17,452",3,580,YES,ACTIVE,1,RETAINED,1
UAE-34,Ryan Wong,Male,44,RAK,"20,852","15,963",1,591,NO,IN_ACTIVE,3,RETAINED,1
UAE-35,Charles Mclean,Male,36,Dubai,"12,132","31,732",4,661,YES,ACTIVE,4,RETAINED,1
UAE-36,Mary Coffey,Male,48,Sharjah,"21,962","120,829",1,704,YES,ACTIVE,8,RETAINED,1
UAE-37,Kyle Bennett,Male,45,Ajman,"22,857","4,773",4,492,NO,IN_ACTIVE,6,RETAINED,1
UAE-38,Audrey Trujillo,Male,26,Sharjah,"3,294","46,198",1,434,NO,ACTIVE,2,RETAINED,1
UAE-39,Sharon Garza,Male,69,Ajman,"20,401","29,241",1,538,NO,ACTIVE,9,RETAINED,1
UAE-40,Becky Wilcox,Female,58,RAK,"4,704","98,079",2,730,YES,ACTIVE,9,RETAINED,1
UAE-41,Wendy Green,Female,55,Umm AL-Quwain,"7,067","143,580",2,383,YES,ACTIVE,8,RETAINED,1
UAE-42,Robert Robinson,Female,27,Ajman,"8,436","147,402",2,468,YES,ACTIVE,9,CHURNED,0
UAE-43,Lisa Francis,Female,43,Sharjah,"16,973","116,699",2,602,YES,ACTIVE,5,CHURNED,0
UAE-44,Michelle Juarez,Male,67,RAK,"4,731","190,667",4,828,NO,IN_ACTIVE,10,RETAINED,1
UAE-45,Nicholas Hubbard,Male,34,RAK,"12,358","177,334",3,362,YES,IN_ACTIVE,1,RETAINED,1
UAE-46,Matthew Griffin,Female,49,Fujairah,"19,470","172,286",1,610,NO,ACTIVE,6,RETAINED,1
UAE-47,Cynthia Graham,Female,48,RAK,"6,113","4,278",4,823,YES,IN_ACTIVE,3,RETAINED,1
UAE-48,Scott Craig,Male,41,Ajman,"22,731","29,934",1,728,NO,ACTIVE,10,RETAINED,1
UAE-49,Stephanie Smith MD,Female,26,Fujairah,"18,369","196,088",2,429,NO,IN_ACTIVE,9,RETAINED,1
UAE-50,Michelle Franklin,Female,24,Dubai,"16,959","112,893",4,510,NO,IN_ACTIVE,10,RETAINED,1
UAE-51,Elizabeth Dougherty,Female,54,Sharjah,"21,179","1,156",2,648,YES,ACTIVE,8,RETAINED,1
UAE-52,Dustin Gilbert,Female,68,Ajman,"24,890","107,416",4,738,YES,IN_ACTIVE,5,RETAINED,1
UAE-53,Kimberly Taylor,Female,33,Umm AL-Quwain,"16,163","70,575",4,461,NO,ACTIVE,6,RETAINED,1
UAE-54,Brandon Castillo,Female,36,RAK,"11,310","112,720",2,653,YES,ACTIVE,3,RETAINED,1
UAE-55,Jessica Miller,Female,51,Abu Dhabi,"23,656","193,848",4,546,NO,IN_ACTIVE,5,RETAINED,1
UAE-56,James Brown,Male,45,Ajman,"12,967","51,306",1,427,YES,ACTIVE,6,RETAINED,1
UAE-57,Edward Krause,Male,45,Ajman,"23,611","188,714",3,573,NO,ACTIVE,5,RETAINED,1
UAE-58,Sherry Peters,Male,43,Umm AL-Quwain,"19,221","179,602",3,308,NO,ACTIVE,4,RETAINED,1
UAE-59,Erika Wallace,Female,49,Umm AL-Quwain,"16,832","180,517",2,419,YES,ACTIVE,2,RETAINED,1
UAE-60,Cindy Jones,Female,55,Fujairah,"6,683","154,780",4,306,YES,IN_ACTIVE,9,CHURNED,0
UAE-61,Christina Reyes,Male,30,Abu Dhabi,"21,014","171,321",2,684,NO,ACTIVE,6,RETAINED,1
UAE-62,Brooke Kaufman,Male,26,Umm AL-Quwain,"6,928","64,714",1,459,NO,ACTIVE,2,RETAINED,1
UAE-63,Mrs. Lindsey Silva,Female,67,Dubai,"23,858","170,259",3,495,NO,IN_ACTIVE,4,RETAINED,1
UAE-64,Julia Ray,Female,34,Dubai,"3,953","186,008",4,747,NO,IN_ACTIVE,3,RETAINED,1
UAE-65,Heather Rodriguez,Female,64,Sharjah,"7,337","45,996",4,790,YES,IN_ACTIVE,7,RETAINED,1
UAE-66,David Rangel,Male,51,Fujairah,"18,503","8,416",4,721,YES,IN_ACTIVE,1,RETAINED,1
UAE-67,Gerald Brown,Male,70,Dubai,"6,535","150,649",1,619,NO,IN_ACTIVE,10,RETAINED,1
UAE-68,Crystal Holt,Male,38,Dubai,"12,577","39,486",3,304,YES,ACTIVE,8,RETAINED,1
UAE-69,Alexis Thompson,Female,43,Ajman,"4,729","193,609",4,465,YES,ACTIVE,10,RETAINED,1
UAE-70,Tracy Barber,Female,61,Fujairah,"13,313","78,772",4,567,YES,ACTIVE,9,CHURNED,0
UAE-71,Ashley Williams,Female,65,Ajman,"20,094","164,252",4,506,YES,IN_ACTIVE,8,RETAINED,1
UAE-72,Stephanie Crosby,Female,31,Umm AL-Quwain,"11,417","178,572",2,680,YES,ACTIVE,3,RETAINED,1
UAE-73,Travis Holt,Male,28,Abu Dhabi,"9,905","92,590",4,610,YES,ACTIVE,8,RETAINED,1
UAE-74,Jessica Davis,Female,34,Dubai,"23,503","133,072",2,453,NO,IN_ACTIVE,3,RETAINED,1
UAE-75,Luke Krueger,Female,68,Ajman,"20,393","79,203",2,810,NO,ACTIVE,2,RETAINED,1
UAE-76,Michael Bell,Male,65,Ajman,"4,694","95,985",4,617,YES,IN_ACTIVE,9,RETAINED,1
UAE-77,Jamie Rice,Male,42,Abu Dhabi,"10,496","150,581",1,767,YES,IN_ACTIVE,7,RETAINED,1
UAE-78,Heidi Taylor,Female,64,RAK,"10,260","179,219",2,393,YES,ACTIVE,3,RETAINED,1
UAE-79,Cindy Hayden,Male,18,Ajman,"24,029","149,780",2,446,YES,ACTIVE,4,RETAINED,1
UAE-80,Brandy Robinson,Male,36,Umm AL-Quwain,"17,978","114,730",3,625,NO,ACTIVE,2,RETAINED,1
UAE-81,Daniel Ali,Male,37,Dubai,"6,804","6,730",3,446,YES,IN_ACTIVE,4,RETAINED,1
UAE-82,Brandon Sanchez,Female,65,Fujairah,"21,349","61,603",3,802,NO,IN_ACTIVE,6,RETAINED,1
UAE-83,Victoria Rivera,Female,40,Sharjah,"19,309","55,834",1,586,YES,ACTIVE,5,RETAINED,1
UAE-84,Zachary Wilson,Male,35,Sharjah,"6,121","177,902",3,686,NO,ACTIVE,2,RETAINED,1
UAE-85,Natalie Vaughn,Male,23,Umm AL-Quwain,"24,377","136,808",1,827,YES,IN_ACTIVE,3,RETAINED,1
UAE-86,Kim Campbell,Female,38,Fujairah,"10,591","16,363",1,441,NO,IN_ACTIVE,3,RETAINED,1
UAE-87,Lisa Wilson,Female,54,Abu Dhabi,"20,059","64,674",3,429,YES,ACTIVE,9,RETAINED,1
UAE-88,Diana Christensen,Female,28,RAK,"22,849","181,526",3,766,YES,ACTIVE,9,RETAINED,1
UAE-89,Brooke Lee,Male,56,RAK,"22,283","178,957",3,809,NO,IN_ACTIVE,9,RETAINED,1
UAE-90,Alexander Green,Female,34,Abu Dhabi,"22,287","193,631",4,531,NO,ACTIVE,10,RETAINED,1
UAE-91,Crystal Malone,Male,52,Ajman,"19,318","193,610",3,704,YES,ACTIVE,1,RETAINED,1
UAE-92,Kirk Smith,Female,18,Umm AL-Quwain,"21,125","183,893",3,624,NO,ACTIVE,7,RETAINED,1
UAE-93,Danielle Rivers,Female,26,Abu Dhabi,"4,763","55,227",3,604,NO,ACTIVE,2,CHURNED,0
UAE-94,Clinton Young,Male,26,Abu Dhabi,"15,338","148,040",4,743,NO,ACTIVE,4,RETAINED,1
UAE-95,Martin Randall,Male,26,Umm AL-Quwain,"14,132","144,373",3,376,YES,ACTIVE,2,RETAINED,1
UAE-96,James Edwards,Female,24,Dubai,"11,209","51,664",2,817,NO,IN_ACTIVE,4,RETAINED,1
UAE-97,Allen Combs,Male,55,RAK,"10,081","171,478",3,843,YES,ACTIVE,8,RETAINED,1
UAE-98,Adrienne Taylor,Female,42,Abu Dhabi,"19,869","174,365",3,360,YES,IN_ACTIVE,2,RETAINED,1
UAE-99,Shelly Williams,Male,58,Abu Dhabi,"23,208",778,3,707,NO,IN_ACTIVE,7,CHURNED,0
UAE-100,Stephanie Allen,Male,58,Dubai,"3,369","29,368",4,351,NO,IN_ACTIVE,9,RETAINED,1
UAE-101,Natasha Pace,Female,63,Dubai,"21,509","16,136",1,428,YES,ACTIVE,5,RETAINED,1
UAE-102,David Jones,Female,19,Sharjah,"7,518","81,149",3,530,YES,IN_ACTIVE,8,RETAINED,1
UAE-103,Alexis Cummings,Male,18,Dubai,"19,946","194,934",4,500,YES,ACTIVE,6,RETAINED,1
UAE-104,Robin Smith,Male,52,Sharjah,"9,888","36,939",1,830,YES,ACTIVE,3,RETAINED,1
UAE-105,Terry Christensen,Female,39,Dubai,"8,821","139,199",3,708,NO,ACTIVE,8,RETAINED,1
UAE-106,Kelly Davis,Male,61,Ajman,"7,587","164,207",4,380,NO,IN_ACTIVE,3,CHURNED,0
UAE-107,Jason Roberts,Male,49,RAK,"16,951","154,363",4,476,NO,ACTIVE,4,RETAINED,1
UAE-108,Shawn Oliver,Male,63,Abu Dhabi,"8,019","10,476",2,455,NO,IN_ACTIVE,6,RETAINED,1
UAE-109,Colton Bass,Male,44,Ajman,"12,702","167,645",2,734,YES,IN_ACTIVE,2,RETAINED,1
UAE-110,Ernest Smith,Male,41,Abu Dhabi,"15,416","89,095",4,464,YES,ACTIVE,2,RETAINED,1
UAE-111,Spencer Allen,Male,47,Sharjah,"5,078","45,968",1,600,NO,IN_ACTIVE,7,RETAINED,1
UAE-112,Steven Mack,Male,31,Dubai,"13,985","65,129",1,756,NO,IN_ACTIVE,9,RETAINED,1
UAE-113,Kevin Reed,Female,40,Umm AL-Quwain,"11,121","112,592",1,634,YES,ACTIVE,3,RETAINED,1
UAE-114,Jonathan Hill,Male,66,Abu Dhabi,"12,682","192,563",4,342,YES,ACTIVE,6,RETAINED,1
UAE-115,Candice Johnson,Male,21,Ajman,"4,130","195,232",1,445,NO,IN_ACTIVE,3,RETAINED,1
UAE-116,Jeffery Clark,Female,49,Fujairah,"3,437","110,872",2,617,YES,IN_ACTIVE,9,RETAINED,1
UAE-117,Derrick Manning,Female,28,Ajman,"16,785","197,104",4,803,NO,ACTIVE,4,RETAINED,1
UAE-118,Darrell Maynard,Male,57,RAK,"8,752","42,862",4,712,YES,IN_ACTIVE,1,RETAINED,1
UAE-119,Joshua Hubbard,Female,65,Ajman,"24,426","70,716",1,752,YES,ACTIVE,6,CHURNED,0
UAE-120,Jimmy Weber,Female,24,Abu Dhabi,"22,743","134,861",2,618,YES,ACTIVE,3,CHURNED,0
UAE-121,Edwin Cochran,Male,64,Dubai,"24,945","163,776",3,619,YES,ACTIVE,9,RETAINED,1
UAE-122,Douglas Brooks,Female,19,Dubai,"24,689","131,733",4,614,YES,ACTIVE,6,RETAINED,1
UAE-123,Karen Crawford,Male,47,Ajman,"3,998","34,710",2,346,YES,ACTIVE,1,RETAINED,1
UAE-124,David Austin,Male,61,Abu Dhabi,"23,228","28,630",2,696,YES,IN_ACTIVE,5,RETAINED,1
UAE-125,Holly Peterson,Male,45,Fujairah,"21,692","169,033",4,744,YES,ACTIVE,3,RETAINED,1
UAE-126,Melissa Robinson,Male,40,Dubai,"10,849","139,715",3,396,YES,ACTIVE,4,RETAINED,1
UAE-127,Caitlin Ramirez,Male,61,Umm AL-Quwain,"22,303","192,792",3,751,NO,ACTIVE,9,RETAINED,1
UAE-128,Dylan Cox,Male,40,Abu Dhabi,"11,695","113,425",2,395,YES,ACTIVE,5,RETAINED,1
UAE-129,Dylan Martinez,Female,49,Dubai,"12,003","122,702",3,610,NO,IN_ACTIVE,6,CHURNED,0
UAE-130,Joshua Cook,Male,54,Fujairah,"13,597","123,796",3,815,NO,ACTIVE,8,RETAINED,1
UAE-131,Craig Parker,Male,51,Fujairah,"24,768","137,967",4,604,YES,IN_ACTIVE,3,CHURNED,0
UAE-132,Amy Richardson,Male,19,Umm AL-Quwain,"8,603","31,095",4,461,NO,ACTIVE,10,RETAINED,1
UAE-133,Amanda Lewis,Male,28,Fujairah,"23,089","173,645",4,796,NO,ACTIVE,1,RETAINED,1
UAE-134,Keith Stewart,Female,67,Dubai,"17,521","91,966",4,396,NO,ACTIVE,3,RETAINED,1
UAE-135,Brian Collins,Female,51,Dubai,"15,794","22,070",3,712,YES,IN_ACTIVE,1,RETAINED,1
UAE-136,Laura Price,Male,42,Fujairah,"22,046","106,568",2,615,YES,IN_ACTIVE,1,RETAINED,1
UAE-137,Leslie Martin,Female,46,RAK,"9,022","199,539",4,407,YES,IN_ACTIVE,4,RETAINED,1
UAE-138,Frank Lawson,Female,58,Ajman,"6,407","29,721",2,701,NO,ACTIVE,7,RETAINED,1
UAE-139,Lorraine Goodman,Female,67,Umm AL-Quwain,"18,701","41,118",1,541,YES,ACTIVE,9,RETAINED,1
UAE-140,Aaron Rice,Male,22,Sharjah,"3,989","83,277",4,634,NO,IN_ACTIVE,4,RETAINED,1
UAE-141,Robert Buck,Female,45,Abu Dhabi,"6,959","120,689",1,324,NO,ACTIVE,8,RETAINED,1
UAE-142,Stephen Morrison,Male,57,Abu Dhabi,"19,490","136,260",4,796,YES,IN_ACTIVE,5,RETAINED,1
UAE-143,Deborah Randolph,Female,64,Dubai,"12,882","102,377",3,817,NO,IN_ACTIVE,8,RETAINED,1
UAE-144,Heather Holland,Female,45,Umm AL-Quwain,"10,880","1,550",3,758,YES,IN_ACTIVE,9,RETAINED,1
UAE-145,Michelle Hall,Male,35,Fujairah,"5,850","31,147",1,424,NO,ACTIVE,4,RETAINED,1
UAE-146,Christian Ware,Female,42,Sharjah,"24,443","162,178",2,608,NO,ACTIVE,2,CHURNED,0
UAE-147,Katrina Fuller,Female,68,Ajman,"18,755","167,342",2,450,NO,ACTIVE,5,RETAINED,1
UAE-148,Maria Wilson,Male,54,Umm AL-Quwain,"10,130","122,862",3,434,YES,ACTIVE,9,RETAINED,1
UAE-149,James Bauer,Female,69,Umm AL-Quwain,"24,524","20,787",1,405,YES,ACTIVE,6,RETAINED,1
UAE-150,Renee Park,Male,30,Umm AL-Quwain,"10,540","78,899",3,435,YES,IN_ACTIVE,7,CHURNED,0
UAE-151,Rachel Walter,Male,39,Sharjah,"17,620","150,735",3,617,NO,IN_ACTIVE,3,CHURNED,0
UAE-152,Martin Walker,Male,38,Ajman,"6,866","186,689",2,374,YES,ACTIVE,1,RETAINED,1
UAE-153,Vicki Strickland,Female,48,Fujairah,"10,390","168,956",2,821,NO,IN_ACTIVE,3,RETAINED,1
UAE-154,Brian Mitchell,Female,50,Dubai,"8,550","62,000",2,460,YES,ACTIVE,5,RETAINED,1
UAE-155,Wesley Rodgers,Male,47,Fujairah,"18,824","38,868",1,703,YES,ACTIVE,1,RETAINED,1
UAE-156,Angela Chan,Male,53,Sharjah,"22,611","12,472",3,830,NO,ACTIVE,7,RETAINED,1
UAE-157,Monica Joyce,Male,36,Fujairah,"16,241","58,151",1,378,NO,IN_ACTIVE,3,RETAINED,1
UAE-158,Jillian Mann,Male,62,Abu Dhabi,"21,121","154,554",2,354,YES,ACTIVE,5,RETAINED,1
UAE-159,Ashley Gonzalez,Male,31,Abu Dhabi,"8,340","21,899",3,347,NO,ACTIVE,2,RETAINED,1
UAE-160,Joshua Evans,Male,37,Fujairah,"6,379","31,293",1,611,YES,IN_ACTIVE,1,RETAINED,1
UAE-161,Melissa Ingram,Female,54,Abu Dhabi,"15,721","38,543",1,753,YES,ACTIVE,3,RETAINED,1
UAE-162,Teresa Guerrero,Female,56,Ajman,"24,579","57,679",1,621,YES,ACTIVE,5,RETAINED,1
UAE-163,David Hernandez,Female,62,Dubai,"17,959","55,835",1,800,YES,IN_ACTIVE,6,CHURNED,0
UAE-164,Leah Beasley,Male,27,RAK,"15,156","22,872",4,728,NO,ACTIVE,9,RETAINED,1
UAE-165,Johnathan Garrison,Male,44,RAK,"23,971","149,478",3,392,NO,IN_ACTIVE,8,RETAINED,1
UAE-166,Tara Lawrence,Female,35,Sharjah,"7,339","66,289",4,620,YES,ACTIVE,6,RETAINED,1
UAE-167,Sandra Horton,Male,46,Dubai,"19,639","187,629",3,468,NO,IN_ACTIVE,3,RETAINED,1
UAE-168,Wendy Obrien,Male,20,Umm AL-Quwain,"3,404","126,534",4,585,YES,ACTIVE,5,RETAINED,1
UAE-169,Tamara Rhodes,Male,46,Fujairah,"10,508","133,288",3,437,YES,IN_ACTIVE,8,RETAINED,1
UAE-170,Hannah Brooks,Male,41,Umm AL-Quwain,"15,277","189,172",1,317,YES,ACTIVE,7,RETAINED,1
UAE-171,Amanda Brown,Female,46,Umm AL-Quwain,"21,558","2,081",1,848,NO,ACTIVE,7,CHURNED,0
UAE-172,Cassandra Williams,Male,24,Ajman,"10,086","92,887",2,746,YES,IN_ACTIVE,3,RETAINED,1
UAE-173,Paige Little,Male,35,RAK,"6,465","89,746",2,356,NO,IN_ACTIVE,1,RETAINED,1
UAE-174,Cynthia Roberts,Female,32,Sharjah,"21,067","51,462",4,341,YES,IN_ACTIVE,9,RETAINED,1
UAE-175,Andrea Ritter,Male,27,Fujairah,"12,298","144,147",2,848,NO,IN_ACTIVE,9,CHURNED,0
UAE-176,Jerry Jones,Male,19,Ajman,"9,743","2,968",1,687,YES,ACTIVE,8,RETAINED,1
UAE-177,Megan Garcia,Male,36,Fujairah,"18,426","126,319",4,337,YES,ACTIVE,8,RETAINED,1
UAE-178,Amber Castillo,Male,40,Dubai,"13,209","125,354",3,747,NO,IN_ACTIVE,4,CHURNED,0
UAE-179,Cheryl Robinson,Female,23,Dubai,"18,182","16,519",2,365,YES,ACTIVE,10,RETAINED,1
UAE-180,Alicia Reyes,Male,39,Ajman,"17,211","142,337",4,505,YES,ACTIVE,9,RETAINED,1
UAE-181,Daniel Simmons,Male,57,Abu Dhabi,"9,878","96,058",1,468,NO,IN_ACTIVE,2,RETAINED,1
UAE-182,Jennifer Lamb,Female,50,Ajman,"16,416","162,127",2,412,YES,IN_ACTIVE,5,RETAINED,1
UAE-183,Ann Flores,Female,50,RAK,"7,392","190,109",3,847,NO,IN_ACTIVE,9,RETAINED,1
UAE-184,Joseph Avery,Male,48,Ajman,"20,367","157,029",3,582,YES,ACTIVE,7,RETAINED,1
UAE-185,Reginald West,Female,27,Dubai,"18,038","66,261",2,562,NO,ACTIVE,3,RETAINED,1
UAE-186,Lisa Cervantes,Female,32,Abu Dhabi,"5,448","128,588",3,584,YES,ACTIVE,3,RETAINED,1
UAE-187,Kenneth Austin,Male,35,Sharjah,"19,390","13,190",3,538,YES,IN_ACTIVE,9,RETAINED,1
UAE-188,Alexandra Livingston,Female,61,Ajman,"16,690","151,128",4,467,NO,ACTIVE,3,RETAINED,1
UAE-189,Amy Ball,Female,66,Umm AL-Quwain,"23,480","167,736",4,540,YES,ACTIVE,5,RETAINED,1
UAE-190,Jenny Parker,Female,49,Ajman,"7,059","96,488",2,809,YES,ACTIVE,2,RETAINED,1
UAE-191,Linda Chandler,Male,53,Sharjah,"15,004","132,462",3,369,YES,ACTIVE,8,RETAINED,1
UAE-192,Samantha Mueller,Male,60,Dubai,"11,364","19,145",3,691,YES,IN_ACTIVE,6,RETAINED,1
UAE-193,Michael Joseph,Male,36,Dubai,"13,908","101,978",3,756,YES,ACTIVE,5,RETAINED,1
UAE-194,Kevin Colon,Male,60,Ajman,"11,797","6,670",2,427,YES,IN_ACTIVE,3,RETAINED,1
UAE-195,Angela Green,Male,68,Ajman,"16,339","170,921",2,497,NO,IN_ACTIVE,8,RETAINED,1
UAE-196,John Hall,Male,19,Ajman,"7,874","156,815",3,688,YES,IN_ACTIVE,7,RETAINED,1
UAE-197,Debra Perkins,Male,37,RAK,"9,850","24,224",1,427,NO,ACTIVE,7,RETAINED,1
UAE-198,Bonnie Hamilton,Female,32,Dubai,"8,172","112,547",3,587,YES,IN_ACTIVE,9,CHURNED,0
UAE-199,Laura Stafford,Male,64,Abu Dhabi,"10,586","114,227",3,450,NO,ACTIVE,2,RETAINED,1
UAE-200,Russell Morgan,Female,51,Fujairah,"17,831","141,771",1,466,YES,IN_ACTIVE,9,RETAINED,1
UAE-201,Seth Johnson,Female,35,Sharjah,"18,526","103,556",2,762,YES,IN_ACTIVE,4,RETAINED,1
UAE-202,Pamela Singh,Female,62,Sharjah,"16,079","121,915",2,302,YES,ACTIVE,5,CHURNED,0
UAE-203,Kyle Davis,Male,58,Sharjah,"8,989","95,361",3,387,NO,IN_ACTIVE,5,CHURNED,0
UAE-204,Jeffery Young,Male,51,RAK,"3,431","62,173",4,644,NO,IN_ACTIVE,7,CHURNED,0
UAE-205,Pamela Hughes,Female,45,Ajman,"9,606","155,622",4,381,NO,IN_ACTIVE,10,RETAINED,1
UAE-206,Cory Butler,Male,43,Abu Dhabi,"22,439","102,624",4,839,YES,IN_ACTIVE,9,CHURNED,0
UAE-207,Gary Scott,Male,66,Umm AL-Quwain,"7,748","175,297",2,763,NO,IN_ACTIVE,1,RETAINED,1
UAE-208,Destiny Rodriguez,Female,29,RAK,"21,406","118,251",4,786,NO,IN_ACTIVE,9,RETAINED,1
UAE-209,Shannon Lawson,Female,42,Ajman,"15,859","102,746",2,362,YES,ACTIVE,6,CHURNED,0
UAE-210,Rebecca Moore,Female,41,Ajman,"11,651","20,387",3,559,YES,ACTIVE,3,RETAINED,1
UAE-211,Susan Brown,Female,18,Ajman,"11,095","134,555",2,494,NO,IN_ACTIVE,4,RETAINED,1
UAE-212,Julie Gonzalez,Female,55,Ajman,"11,645","41,884",4,325,NO,ACTIVE,3,RETAINED,1
UAE-213,Michael Bean,Male,26,Fujairah,"12,690","17,592",4,787,YES,ACTIVE,1,RETAINED,1
UAE-214,Maurice Singh,Female,50,RAK,"23,054","143,870",4,580,NO,ACTIVE,4,RETAINED,1
UAE-215,Andrea Kelley,Male,21,Umm AL-Quwain,"10,351","2,234",4,762,NO,ACTIVE,3,CHURNED,0
UAE-216,John George,Male,24,Sharjah,"8,416","79,307",4,828,YES,ACTIVE,3,RETAINED,1
UAE-217,Adam Black,Female,21,Dubai,"20,814","21,479",1,301,YES,ACTIVE,3,RETAINED,1
UAE-218,Brandon Colon,Female,45,Umm AL-Quwain,"4,315","47,454",4,685,NO,IN_ACTIVE,10,RETAINED,1
UAE-219,Tammy Valdez,Male,30,Sharjah,"8,027","13,466",2,833,YES,ACTIVE,10,RETAINED,1
UAE-220,Alyssa Johnson,Male,64,Abu Dhabi,"18,453","121,441",1,305,YES,ACTIVE,5,RETAINED,1
UAE-221,Cynthia Brooks,Male,51,Dubai,"15,235","34,882",3,838,NO,IN_ACTIVE,7,RETAINED,1
UAE-222,Mr. William Levine,Male,34,Dubai,"13,042","54,161",2,644,NO,ACTIVE,4,CHURNED,0
UAE-223,Melissa Peterson,Male,28,Fujairah,"11,517","145,156",2,539,NO,IN_ACTIVE,7,RETAINED,1
UAE-224,Robert Andrews,Female,27,Dubai,"11,489","137,275",2,801,NO,ACTIVE,1,CHURNED,0
UAE-225,Maurice Johnson,Female,68,Dubai,"19,747","152,971",4,678,NO,ACTIVE,4,RETAINED,1
UAE-226,Anthony Perez,Female,19,Ajman,"15,044","113,571",4,630,YES,IN_ACTIVE,10,RETAINED,1
UAE-227,James Ramos,Female,43,Dubai,"3,620","148,029",1,515,YES,IN_ACTIVE,6,RETAINED,1
UAE-228,Ashley Hernandez,Male,67,Ajman,"4,309","16,852",2,636,YES,ACTIVE,1,RETAINED,1
UAE-229,April Ramos,Male,20,Ajman,"5,829","78,042",2,761,NO,IN_ACTIVE,10,CHURNED,0
UAE-230,Jamie Wood,Female,60,Sharjah,"11,173","2,270",4,575,NO,IN_ACTIVE,9,CHURNED,0
